,0,1
1400,2019-10-04 10:01:09," {""date"": ""20191004"", ""time"": ""100007"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.07}"
1401,2019-10-04 10:01:09," {""date"": ""20191004"", ""time"": ""100011"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""7.57""}"
1402,2019-10-04 10:01:09," {""date"": ""20191004"", ""time"": ""100109"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.02256036""}"
1404,2019-10-04 10:31:08," {""date"": ""20191004"", ""time"": ""103006"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.195}"
1405,2019-10-04 10:31:08," {""date"": ""20191004"", ""time"": ""103010"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""8.36""}"
1406,2019-10-04 10:31:08," {""date"": ""20191004"", ""time"": ""103108"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.01671783""}"
1408,2019-10-04 11:01:06," {""date"": ""20191004"", ""time"": ""110005"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.32}"
1409,2019-10-04 11:01:06," {""date"": ""20191004"", ""time"": ""110009"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""9.25""}"
1410,2019-10-04 11:01:06," {""date"": ""20191004"", ""time"": ""110106"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.01620563""}"
1412,2019-10-04 11:31:06," {""date"": ""20191004"", ""time"": ""113004"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.32}"
1413,2019-10-04 11:31:06," {""date"": ""20191004"", ""time"": ""113008"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""9.59""}"
1414,2019-10-04 11:31:06," {""date"": ""20191004"", ""time"": ""113106"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.01825166""}"
1416,2019-10-04 12:01:05," {""date"": ""20191004"", ""time"": ""120003"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.32}"
1417,2019-10-04 12:01:05," {""date"": ""20191004"", ""time"": ""120007"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""9.67""}"
1418,2019-10-04 12:01:05," {""date"": ""20191004"", ""time"": ""120105"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.02138619""}"
1420,2019-10-04 12:31:09," {""date"": ""20191004"", ""time"": ""123007"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 11.945}"
1421,2019-10-04 12:31:09," {""date"": ""20191004"", ""time"": ""123011"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""9.77""}"
1422,2019-10-04 12:31:09," {""date"": ""20191004"", ""time"": ""123109"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.02380785""}"
1424,2019-10-04 13:01:07," {""date"": ""20191004"", ""time"": ""130006"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.007}"
1425,2019-10-04 13:01:08," {""date"": ""20191004"", ""time"": ""130010"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""9.81""}"
1426,2019-10-04 13:01:08," {""date"": ""20191004"", ""time"": ""130107"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.03526397""}"
1428,2019-10-04 13:31:07," {""date"": ""20191004"", ""time"": ""133005"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.132}"
1429,2019-10-04 13:31:07," {""date"": ""20191004"", ""time"": ""133009"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""9.87""}"
1430,2019-10-04 13:31:07," {""date"": ""20191004"", ""time"": ""133107"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.02923875""}"
